"restaurant name",city,cuisines,"aggregate rating",cost
"Barbeque Nation",Ludhiana,"North Indian, Chinese, Continental",3.9,18.200
"Nik Bakers",Ludhiana,"Cafe, Bakery, Desserts",4.2,10.400
"Aman Chicken",Ludhiana,"North Indian, Mughlai",4.6,10.400
"District 6",Ludhiana,"European, Chinese",3.8,20.800
"The BrewMaster - The Mix Fine Dine",Ludhiana,"North Indian, Continental",3.9,19.500
#45,Mangalore,Cafe,3.6,7.800
"Crave Desserts & Bakes",Mangalore,"Desserts, Bakery",3.9,2.600
"Diesel Cafe",Mangalore,"American, Italian",3.8,11.700
"Froth On Top",Mangalore,"Chinese, Mangalorean",3.7,9.100
"Hao Ming",Mangalore,Chinese,3.5,7.800
"Kobe Sizzlers",Mangalore,"Continental, American",3.7,13.000
"Liquid Lounge",Mangalore,"Finger Food, Continental, North Indian",3.8,10.400
"Maharaja Restaurant",Mangalore,"South Indian, North Indian",3.6,9.100
"Giri Manja's",Mangalore,Seafood,4.2,6.500
"Kabab Studio",Mangalore,"North Indian, Mughlai",3.5,19.500
"Brio Cafe and Grill",Mangalore,"Cafe, Continental",3.6,6.500
"Gajalee Sea Food",Mangalore,"Seafood, North Indian",3.9,9.750
"Smoke N Oven",Mangalore,"Pizza, Italian",3.5,7.800
"Village Restaurant",Mangalore,"Chinese, Continental, North Indian, Mughlai",3.7,13.000
"Barbeque Nation",Mangalore,"North Indian, Chinese",3.7,20.800
Machali,Mangalore,Seafood,4.1,10.400
"Punjab Da Pind",Mangalore,"North Indian, Mughlai, Chinese, Mangalorean",3.7,13.000
"Sizzler's Ranch",Mangalore,Continental,3.8,9.100
Spindrift,Mangalore,"North Indian, Italian, Finger Food",3.9,9.100
"Sagar Ratna",Mangalore,"South Indian, North Indian, Chinese",3.7,6.500
"The Shooters Cafe",Mohali,"Continental, North Indian",4.3,7.150
"Joey's Pizza",Mumbai,Pizza,4,10.400
"Cafe Hydro",Mumbai,Asian,4,13.000
"The American Joint",Mumbai,"Healthy Food, American, Burger, Salad",3.4,11.050
"The Fusion Kitchen",Mumbai,"North Indian, Italian, Chinese, Mexican",4.7,13.000
"145 Kala Ghoda",Mumbai,"Fast Food, Beverages, Desserts",4.2,19.500
"Tea Villa Cafe",Mumbai,"Cafe, Italian, Desserts, Fast Food, Chinese, Tea",4.1,13.000
"Grandmama's Cafe",Mumbai,"Continental, Italian",3.8,14.300
"Mumbai Vibe",Mumbai,"Cafe, Continental, North Indian, Italian, Chinese, Bakery, Desserts, Finger Food",3.8,13.000
"The Rolling Pin",Mumbai,"Bakery, Desserts, Cafe",3.9,9.100
"Farzi Cafe",Mumbai,"Modern Indian",4.3,19.500
SpiceKlub,Mumbai,"North Indian",4.2,19.500
"Tea Villa Cafe",Mumbai,"Cafe, Italian, Desserts, Fast Food, Chinese, Tea",3.9,13.000
"Joey's Pizza",Mumbai,Pizza,4.5,10.400
"Stacks And Racks",Mumbai,"American, Burger, Fast Food",4.6,6.500
"The English Department Bar & Diner",Mumbai,"Italian, Continental, Mexican, Japanese, American, British",3.9,19.500
"Mirchi And Mime",Mumbai,"North Indian, South Indian, Mughlai",4.9,19.500
"38 Degree East",Mumbai,"North Indian, Chinese, Thai",3.8,13.000
"R' ADDA",Mumbai,"Street Food, Burger, Desserts, Italian, Pizza, North Indian, European, Finger Food",4,15.600
"Tea Villa Cafe",Mumbai,"Cafe, Italian, Desserts, Fast Food, Chinese, Tea",4.1,13.000
"Tea Villa Cafe",Mumbai,"Cafe, Italian, Desserts, Fast Food, Chinese, Tea",3.6,13.000
"Hotel RRR Mysore",Mysore,Andhra,3.4,3.770
"Jalpaan Dining Saga",Mysore,"North Indian, Chinese, Italian",3.7,11.700
"The Old House",Mysore,Italian,3.9,10.400
"Vinayaka Mylari",Mysore,"South Indian",4.2,3.900
"Empire Restaurant",Mysore,"North Indian, Andhra, Mughlai",3.7,6.500
"Green Leaf",Mysore,"North Indian, Chinese, South Indian",3.5,5.200
"Pakva Lounge",Mysore,"Italian, North Indian, South Indian",3.7,8.450
"Spring - Radisson Blu Plaza",Mysore,"Continental, North Indian, South Indian",3.8,22.100
"Big Chicken",Mysore,"North Indian, Chinese",3.5,6.500
"Barbeque Nation",Mysore,"North Indian, European, Mediterranean",4,20.800
"Pizza Hut",Mysore,"Pizza, Italian",4,9.100
Tandooriwala,Mysore,"North Indian",3.5,9.100
"Jungle The Restaurant",Mysore,"North Indian, Continental, Chinese",3.7,13.000
"The Barge Restaurant",Mysore,"Continental, Chinese, North Indian",3.3,19.500
"By The Way",Mysore,"North Indian, Chinese, South Indian",3.6,8.450
"Cafe Cornucopia",Mysore,"Cafe, Continental, European, Beverages",3.6,9.100
Mezzaluna,Mysore,"Continental, South Indian",3.8,8.450
Nanking,Mysore,"Chinese, Thai",3.7,7.150
"Oyster Bay",Mysore,"North Indian, Asian, Continental",3.6,13.000
"Purple Haze",Mysore,"Finger Food",3.7,15.600
"House of Caffeine",Nagpur,"Fast Food",3.3,6.500
"Hide Out The Street Cafe",Nagpur,Cafe,3.8,3.250
"Tapri The Chai Books Cafe",Nagpur,"Continental, Fast Food, Tea",3.9,3.250
"Eat Street Express",Nagpur,"North Indian, Chinese",4,6.500
Zaikart,Nagpur,"North Indian, Mughlai",4.3,7.150
"Cafe Zinea",Nagpur,"Cafe, Chinese, Fast Food, Italian",3.7,5.200
Checker's,Nagpur,"Fast Food, Chinese",4,7.150
"The B.A.W.A",Nagpur,Cafe,4.2,7.800
FSB,Nagpur,"Continental, North Indian, Thai, Chinese",4.3,14.300
"NESCAF? Illusions",Nagpur,Cafe,3.9,4.550
Nineties,Nagpur,"Cafe, Fast Food",3.9,3.250
Mocha,Nagpur,"Cafe, Continental",4,9.750
"The Zuree Urban Kitchen",Nagpur,"North Indian, Italian, Continental",4.4,15.600
"The Breakfast Story",Nagpur,Cafe,4.5,7.800
"Ten Downing Street Restaurant & Bar",Nagpur,"Chinese, Continental, North Indian",4,13.000
"Ashoka Restaurant",Nagpur,"North Indian, Chinese, Continental",4.2,16.900
"Barbeque Nation",Nagpur,"North Indian, European, Mediterranean",4.9,20.800
KFC,Nagpur,"American, Fast Food",2.2,7.150
"Moksh The Restro Lounge",Nagpur,"Seafood, Chinese, Thai",4,13.000
"Mainland China",Nagpur,Chinese,3.8,13.000
"Divtya Budhlya Wada Restaurant",Nashik,Maharashtrian,3.8,5.200
"Spice Route",Nashik,"North Indian, Maharashtrian",3.6,13.000
"Veg Aroma",Nashik,"North Indian",3.6,7.800
"Eastern Spice",Nashik,"North Indian",3.5,10.400
"The Bake Studio",Nashik,"Cafe, Desserts",3.6,5.200
"Barbeque Nation",Nashik,"North Indian, European, Mediterranean, Asian",3.8,19.500
"Chai Tapri",Nashik,Cafe,3.4,1.950
"Curry Leaves",Nashik,"North Indian, Chinese, Fast Food",3.4,7.800
"Enter The Dragon",Nashik,Chinese,3.4,9.100
"The Cafe Katta",Nashik,Cafe,3.3,7.800
"White X Sky Lounge",Nashik,"North Indian",3.4,10.400
12212,Nashik,"Fast Food",3.5,5.200
"Al Arabian Express",Nashik,Mughlai,3.7,6.500
"RiverDine Restaurant & Bar",Nashik,"North Indian, Chinese",3.5,6.500
"Barbeque Ville",Nashik,"North Indian",3.8,14.300
"Little Italy",Nashik,Italian,3,10.400
"Soma at Sula",Nashik,"North Indian",3.3,13.000
"Hotel Radhakrishna",Nashik,"Malwani, North Indian, Chinese, Seafood",3.5,5.200
"Sadhana Restaurant",Nashik,Maharashtrian,3.9,1.300
"House Of Flavours",Nashik,"North Indian, Chinese, Continental",3.4,11.700
"Food Cloud","New Delhi","Cuisine Varies",0,6.500
Burger.in,"New Delhi","Fast Food",3.2,4.550
"Days of the Raj","New Delhi","North Indian, Seafood, Continental",3.4,19.500
"Dilli Ka Dhaba","New Delhi","South Indian, North Indian",2.6,6.500
Govardhan,"New Delhi","South Indian, North Indian, Chinese",3.4,6.500
"Mezbaan Grills","New Delhi",Mughlai,3.1,5.200
"Say Cheese","New Delhi","Fast Food",2.7,5.200
Southy,"New Delhi","South Indian",2.6,5.850
Monosoz,"New Delhi",Pizza,3.7,3.900
Waves,"New Delhi","North Indian, Chinese",3.5,19.500
"Delhi Darbar","New Delhi","Chinese, North Indian",2.2,6.500
Chateau,"New Delhi","Mediterranean, Italian",4,20.800
"Nariyal Cafe","New Delhi","Continental, Seafood, Goan, Andhra, Kerala, Thai",4.2,15.600
"Rustom's Parsi Bhonu","New Delhi",Parsi,4.2,19.500
BarShala,"New Delhi","Finger Food",3.2,7.800
Chawla's?,"New Delhi","North Indian, Mughlai",3.4,10.400
"Domino's Pizza","New Delhi","Pizza, Fast Food",2.8,9.100
Sultanat,"New Delhi","North Indian, Chinese, Continental",3.7,13.000
"Bella Italia","New Delhi","Fast Food, Italian, Pizza",3.2,7.150
"Clever Fox Cafe","New Delhi","North Indian, Continental, Chinese",3.2,11.700
"365 Naturals","New Delhi","Continental, North Indian, Fast Food, Street Food, South Indian",0,7.800
Tpot,"New Delhi",Cafe,0,10.400
"4 on 44 Restaurant & Bar","New Delhi","North Indian, Chinese",2.6,13.000
Rambhog,"New Delhi","Street Food, Mithai",3.3,2.600
"Selfie Lounge Restro & Bar","New Delhi","North Indian, Chinese",3.2,19.500
BTW,"New Delhi","Street Food, South Indian, Mithai",3.4,5.200
"Chilli Pepper","New Delhi","North Indian, Chinese",3.3,11.700
"Pizza Hut","New Delhi","Italian, Pizza, Fast Food",2.6,13.000
"Puri Bakers","New Delhi","Bakery, Fast Food",3.7,3.900
"Jaiveer Naan & Chaap","New Delhi","North Indian, Fast Food",2.2,6.500
"Aggarwal's Sweets Paradise","New Delhi","Mithai, North Indian, South Indian, Street Food",2.9,5.200
"Bikaner Sweets","New Delhi","Mithai, Street Food",3.3,2.600
"Cafe Coffee Day","New Delhi",Cafe,3.2,5.850
"Cakeophony By Sonali","New Delhi",Bakery,3.4,5.200
"Chandra Sweets","New Delhi","Mithai, North Indian, South Indian, Street Food",3,5.200
"Chhotu Mashhoor Kathi Roll","New Delhi","Fast Food",2.7,1.950
"Green Chick Chop","New Delhi","Raw Meats, North Indian, Fast Food",3.2,4.550
"Lazeez Restaurant","New Delhi","Chinese, North Indian, Italian, Mughlai",3,7.800
"Madhuvan Chinese Fast Food","New Delhi",Chinese,2.5,3.900
"Mr Wong","New Delhi","Chinese, Thai",3.2,10.400
"Mughlai Shahi Rasoi","New Delhi","North Indian, Mughlai",3.2,7.800
"Mumbai Central Street Food","New Delhi","Street Food, Fast Food, Beverages",3.1,5.200
"Neha's Treat","New Delhi",Chinese,2.9,5.850
"New Bakers Shoppee","New Delhi","Bakery, Fast Food",3.2,2.600
"Pant  Ice Cream Parlour","New Delhi","Desserts, Ice Cream",3.3,1.950
"PM 2 AM Food Bank","New Delhi","North Indian",2.5,6.500
"Punjabi Chaap Corner","New Delhi","North Indian",2.9,3.250
"Sartaj Food Corner","New Delhi","North Indian, South Indian, Chinese",2.8,6.500
"The Sugar Therapy","New Delhi","Bakery, Desserts",3.4,5.850
"Biryani Binge","New Delhi","North Indian, Biryani",3.9,7.800
"City of Joy","New Delhi",Bengali,3.9,10.400
"Letz Roll","New Delhi","Ice Cream, Desserts",3.6,3.250
Nukkad,"New Delhi","Chinese, Mughlai, North Indian",3.6,8.450
#InstaFreeze,"New Delhi","Ice Cream",0,3.900
"Aahar Meat and Chicken Shop","New Delhi","Raw Meats, Fast Food",0,5.200
"Food Cafe","New Delhi","South Indian, North Indian, Chinese",0,4.550
"Lazeez Restaurant","New Delhi","Chinese, North Indian, Mughlai, Pizza",0,6.500
"Lemon Chick","New Delhi","North Indian",0,6.500
"Punjabi Chaap Corner","New Delhi","Fast Food, North Indian",0,5.200
"Purani Dilli Foods","New Delhi",Mughlai,0,7.800
"Tandoori Kebab","New Delhi","North Indian",0,5.200
"Shree Rathnam","New Delhi","South Indian, North Indian, Chinese",2.4,10.400
Alaturka,"New Delhi",Turkish,2.5,7.800
"Amici Gourmet Pizza","New Delhi","Pizza, Italian",3.1,10.400
"Burger King","New Delhi","Burger, Fast Food",3.2,6.500
"Kylin Express","New Delhi","Asian, Chinese",2.6,9.100
"Big Fat Sandwich","New Delhi",American,3.5,10.400
"Fashion Tv Cafe","New Delhi","Continental, Chinese, North Indian",3.6,28.600
"Kylin Skybar","New Delhi","Chinese, Japanese, Thai, Malaysian, Vietnamese, Asian",3.6,28.600
"Lemon Drops","New Delhi","North Indian, South Indian",3.9,6.500
"Punjabi By Nature Express","New Delhi","North Indian, Street Food, Mughlai",3.5,7.800
"Red Mango","New Delhi","Cafe, Desserts",3.7,9.100
Starbucks,"New Delhi",Cafe,3.7,9.100
"Peninsular Kitchen","New Delhi","Seafood, South Indian, Andhra, Hyderabadi, Goan",4.2,19.500
Mithapur,"New Delhi","Chinese, Fast Food, North Indian, South Indian",3.4,5.850
Diggin,"New Delhi","Italian, Continental, Cafe",4.2,18.200
"Aggarwal Sweet India","New Delhi","Fast Food, North Indian, Chinese, Desserts",2.8,2.600
Banzara's,"New Delhi","Chinese, Fast Food",3.1,5.200
"Bobby Tikki Wala","New Delhi","Street Food",2.8,1.950
"Chennai Junction","New Delhi","South Indian",3.3,6.500
"Chicken Bite","New Delhi","Fast Food",3.1,2.600
"Chocolate Dreams","New Delhi","Bakery, Desserts",3,5.200
"Dial n Dine","New Delhi","North Indian, Chinese",3.4,8.450
"Fresh n Refresh","New Delhi","Fast Food",3.4,6.500
"Garden Hut","New Delhi","Chinese, Fast Food",3.1,3.250
Giani,"New Delhi","Ice Cream, Desserts",3.3,5.200
"Jugnu Gaming Zone and Cafe","New Delhi","Cafe, North Indian, Fast Food",2.9,7.800
"Keventer's South Indian & Chinese Food","New Delhi","Chinese, South Indian",2.8,2.600
KTS,"New Delhi","Fast Food",3.3,3.250
Mandarin,"New Delhi",Chinese,2.8,7.800
"Penguin Bakers & Shakers","New Delhi","Fast Food",2.8,5.200
Rollmates,"New Delhi","Fast Food, North Indian, Chinese",3.2,2.600
"Tandoori Nights","New Delhi","Mughlai, North Indian",3,8.450
"Burger Dominion","New Delhi","Fast Food",3.6,6.500
"Cafe Gainz","New Delhi","Healthy Food",3.5,4.550
Chaskaa,"New Delhi","Chinese, North Indian, Italian",3.5,8.450
"Fabulous Cake Bites","New Delhi","Bakery, Desserts, Fast Food, Pizza, Burger, Continental",3.6,5.200
"Hangout - A House Of Kathis","New Delhi","Street Food",3.7,3.250
"Malais By Anands","New Delhi","North Indian, Chinese, South Indian, Fast Food",3.7,3.900
"Panchwati Rasoi","New Delhi","North Indian, Chinese",3.8,3.250
"Sprinkles Cup & Cake","New Delhi","Bakery, Desserts",3.6,3.900
"Target Ice Cream & Bakers","New Delhi","Desserts, Bakery, Pizza, Burger, Continental",3.6,4.550
"The Sweeet Jar","New Delhi","Cafe, Bakery",3.9,13.000
"Amar Bakery","New Delhi","Bakery, Desserts, Fast Food, Mithai",0,6.500
"Cafe Brewbug","New Delhi","Fast Food, Beverages",0,4.550
"Chilll House Kafe","New Delhi",Cafe,0,6.500
"Cookie Shookie","New Delhi",Bakery,0,1.300
"Fabulous Cake","New Delhi",Bakery,0,3.900
"Jai Maa Shaarde Samose Wala","New Delhi","Street Food",0,1.300
"Madaan Confectionery","New Delhi",Bakery,0,1.950
"Magic Masala","New Delhi","Chinese, South Indian, North Indian",0,6.500
"Sikka Chinese Fast Food","New Delhi","Chinese, Fast Food",0,3.900
"Teedo's Cake Inn","New Delhi","Cafe, Bakery",0,6.500
"Thalaiva Cafe","New Delhi","South Indian, Chinese",0,5.200
"The Cake Affairs","New Delhi","Bakery, Desserts",0,6.500
"Tulsi Ram Chinese Hut","New Delhi",Chinese,0,2.600
"V. K. Pasta","New Delhi","Italian, Fast Food",0,7.800
"Xpert Bakers","New Delhi",Bakery,0,3.250
"Juniper Bar - Andaz Delhi","New Delhi","North Indian, European",3,19.500
McDonald's,"New Delhi","Fast Food, Burger",3.4,6.500
"Pizza Hut Delivery","New Delhi","Italian, Pizza, Fast Food",3.2,10.400
"The Arena","New Delhi","Continental, Asian, North Indian",3.4,20.800
"Restaurant De Seoul","New Delhi","Japanese, Korean",3.6,32.500
Taksim,"New Delhi",Continental,3.9,19.500
"Jom Jom Malay","New Delhi","Malaysian, Indonesian",4.4,23.400
Kofuku,"New Delhi","Japanese, Asian",4,19.500
"The Sky High","New Delhi","Continental, North Indian, Mughlai, Italian",4.1,18.200
Haldiram's,"New Delhi","North Indian, South Indian, Chinese, Mithai, Fast Food",3.1,6.500
"Jux Pux - The Dreamer's Cafe","New Delhi","Beverages, Fast Food",3.1,4.550
Pizzaon,"New Delhi","Pizza, Fast Food",3,6.500
"FFC Restaurant","New Delhi","Fast Food",0,3.250
"34, Chowringhee Lane","New Delhi","Fast Food",2.8,4.550
"Aapni Dhani","New Delhi","North Indian, Street Food",2.8,2.600
"Bengal Sweet Corner","New Delhi","North Indian, South Indian, Chinese, Fast Food, Mithai",2.8,6.500
"Chicken Vicken","New Delhi","North Indian, Chinese",3.4,7.800
Cup-a-licious,"New Delhi",Bakery,3.2,2.600
Frontier,"New Delhi",Bakery,3,2.600
"Metro Fast Food","New Delhi","Chinese, Fast Food",2.7,5.200
Nagpal's,"New Delhi","Street Food",3.4,2.600
"Nile Restro & Bar","New Delhi","North Indian, Chinese",2.7,13.000
"Popular Chicken","New Delhi","North Indian, Mughlai, Chinese",3,5.850
"Sardar A Pure Meat Shop","New Delhi","Raw Meats, Fast Food, North Indian",3.4,1.950
"Shankar Fast Food","New Delhi","Chinese, Fast Food",3.2,3.900
"Singh's Zaika ","New Delhi","North Indian, Chinese, Mughlai",3,6.500
"The Mirch Masala","New Delhi","North Indian, Chinese",3,9.100
"The Mirch Masala","New Delhi","North Indian",3.2,8.450
"Uncle Cake Shop","New Delhi","Bakery, Desserts, Fast Food",3.1,3.900
"Kays Bar-Be-Que","New Delhi","North Indian, Mughlai",3.5,9.100
"Master Bakers","New Delhi","Bakery, Desserts, Chinese, Fast Food",3.7,4.550
"The Master's Fast Food Centre","New Delhi","Fast Food, Chinese, Bakery",3.5,5.200
"6 Pack Momos","New Delhi",Chinese,0,3.900
"Al Noor Foods","New Delhi","North Indian, Mughlai",0,6.500
"Avon Kitchen","New Delhi","North Indian, Mughlai, Chinese",0,9.100
"Bhasad Cafe","New Delhi","Fast Food, Chinese",0,6.500
"Bikaner Kesarvala","New Delhi",Mithai,0,1.300
"De Bone Chicken","New Delhi","Raw Meats, Fast Food",0,5.200
"Indian Fresh Meat Shop","New Delhi","Raw Meats, Fast Food",0,3.900
"JD's Food Court","New Delhi","North Indian, Chinese",0,7.150
Keventers,"New Delhi",Beverages,0,5.200
"Malhotra Bakery","New Delhi","Bakery, Chinese",0,3.900
"Matthi Wala","New Delhi","Mithai, Street Food",0,1.950
"Nirula's Ice Cream","New Delhi","Ice Cream, Desserts",0,3.250
"Punjabi Chaap Corner","New Delhi","Fast Food, Chinese",0,5.200
"Puran Dhaba","New Delhi","North Indian",0,2.600
"Rama Desi Ghee Meat Wala","New Delhi","North Indian",0,8.450
"VadaPav 'n' Frankie","New Delhi","Fast Food",0,1.300
"Chhabra Sweets","New Delhi",Mithai,2.4,1.300
Kanwarji's,"New Delhi","Street Food, Chinese, North Indian, Mithai",2.9,3.900
"Pizza Hut","New Delhi","Italian, Pizza, Fast Food",3.4,13.000
"Sagar Ratna","New Delhi","South Indian, North Indian, Chinese",2.7,7.800
"Smelling Salts","New Delhi","North Indian, Chinese",3.3,15.600
"Wah Ji Wah","New Delhi","North Indian, Chinese",2.6,4.550
Wheelyz,"New Delhi","North Indian, Chinese, Fast Food",2.5,7.150
"Bell Pepperz","New Delhi","Chinese, Italian, North Indian",3.9,16.900
"Bharat Sweets","New Delhi","Mithai, Street Food",3.5,3.250
Invitation,"New Delhi","North Indian, Chinese",3.6,16.900
"Mystique Melange","New Delhi","North Indian, Mughlai, Chinese, Continental",3.9,23.400
"Pandit Ji Paranthe Wale","New Delhi","North Indian",3.7,2.600
"Raju Chat Palace","New Delhi","Street Food",3.9,2.600
"Seasonings - The Spice Mysteries","New Delhi","North Indian, Mughlai, Chinese, Italian",3.9,15.600
"SGF - Spice Grill Flame","New Delhi","North Indian, Chinese",3.5,6.500
"Apni Rasoi","New Delhi","North Indian",3,3.900
"Bablu Kabab Shop","New Delhi","North Indian, Mughlai",3.1,6.500
"Cake o' Cuisine","New Delhi",Bakery,3.3,3.900
"Domino's Pizza","New Delhi","Pizza, Fast Food",3.2,9.100
"Hunger Flames","New Delhi","Pizza, Fast Food, Chinese",3.4,6.500
"Puran Chand Ambala Wale Di Hatti","New Delhi","North Indian, Mughlai",3.3,7.800
"The Cake Gallery","New Delhi",Bakery,3.3,6.500
"Bablu Chic Inn","New Delhi","Mughlai, North Indian",3.6,9.750
"Masala Basket","New Delhi","North Indian, South Indian, Street Food",3.6,5.200
"Udta Punjab","New Delhi","North Indian, Mughlai",3.5,7.800
"Munch Nation","New Delhi","Fast Food, Italian, Chinese",4,4.550
"Bengali Pastry Shop & Snack Bar","New Delhi","North Indian, South Indian, Chinese",3.2,7.150
"Bhimsain's Bengali Sweet House","New Delhi","North Indian, South Indian, Chinese, Street Food, Mithai",3.4,5.200
"Cafe Coffee Day","New Delhi",Cafe,2.9,5.850
"Colonel's Kababz","New Delhi","North Indian, Fast Food",3.4,7.800
Faasos,"New Delhi","North Indian, Fast Food",2.8,7.800
"Karachi Bakery","New Delhi","Bakery, Mithai",3,2.600
"Nathu's Sweets","New Delhi","North Indian, South Indian, Street Food, Mithai",3.3,7.800
"Sachdeva Confectioners","New Delhi","North Indian, Chinese",3.1,7.150
"Bengali Sweet House","New Delhi","North Indian, Street Food, Chinese, South Indian, Mithai",3.6,5.200
"Bijoli Grill","New Delhi","Bengali, North Indian, Chinese",3.7,10.400
"Nathu's Pastry Shop","New Delhi","Bakery, Desserts, Fast Food",3.8,3.900
"Balaji Dhaba","New Delhi","North Indian",0,2.600
"Bhagat Ji","New Delhi","Fast Food",0,1.300
"Hangout Kathi Rolls","New Delhi","Fast Food",0,2.600
"Makers & Bakers","New Delhi","Bakery, Desserts",0,4.550
"Habibi Express","New Delhi","Lebanese, Arabian, Moroccan",2.3,9.750
"Cafe Coffee Day","New Delhi",Cafe,3.2,5.850
"China Town","New Delhi","Chinese, Fast Food",2.9,5.200
"Domino's Pizza","New Delhi","Pizza, Fast Food",3.3,9.100
"High Street Kitchen & Bar","New Delhi","North Indian",2.9,15.600
"Pizza Hut","New Delhi","Italian, Pizza, Fast Food",3.1,13.000
"Sugar & Spice - Le Marche","New Delhi","Bakery, Fast Food",3,10.400
"The Kathis","New Delhi","Fast Food, North Indian",2.8,3.900
"The Kylin Experience","New Delhi","Japanese, Chinese, Malaysian, Thai, Vietnamese",3.3,22.100
"Arabian Nites","New Delhi",Lebanese,3.5,5.850
"Asia Kitchen","New Delhi","Chinese, Thai, North Indian",3.7,16.900
"Dunkin' Donuts","New Delhi","Burger, Desserts, Fast Food",3.7,7.800
"Krips Restaurant","New Delhi","North Indian, Chinese",3.5,13.000
McDonald's,"New Delhi","Fast Food, Burger",3.5,6.500
"Yo! China","New Delhi",Chinese,3.5,16.900
RPM,"New Delhi","Finger Food",2.4,23.400
"By The Way - Bellagio","New Delhi","Italian, Continental",2.9,13.000
"Red - Bellagio","New Delhi",Chinese,3.4,19.500
"Soul Curry - Bellagio","New Delhi","North Indian, Mughlai",3.6,14.300
"Alpha 63","New Delhi","North Indian, Chinese, Continental",2.7,19.500
Bite-N-Sip,"New Delhi","North Indian, Street Food",2.6,3.900
"Lotus Garden","New Delhi","Chinese, Japanese, Thai",3.2,26.000
"Meethas Sweets","New Delhi","Mithai, North Indian",2.8,2.600
Nirula's,"New Delhi","Fast Food, North Indian, Desserts, Ice Cream",2.5,14.300
"Punjabi Tadka","New Delhi","North Indian",2.8,3.250
"Snack Bar","New Delhi","North Indian, Mughlai",3,3.250
"South Indian Food","New Delhi","South Indian",3.1,1.950
"Domino's Pizza","New Delhi","Pizza, Fast Food",2.4,9.100
Southy,"New Delhi","South Indian",2.4,5.200
"Coffee Shop - Centaur Hotel","New Delhi",Cafe,0,19.500
"Al Kuresh","New Delhi","Chinese, North Indian",3.3,11.050
"Angan Bakery & Cafe","New Delhi","Bakery, Italian, Fast Food, Chinese, Continental",2.9,7.800
"Bamboo Chopstix","New Delhi","Chinese, North Indian",2.7,9.100
Bawarchis,"New Delhi","Chinese, North Indian",2.9,9.100
Bikanervala,"New Delhi","North Indian, South Indian, Fast Food, Street Food, Chinese, Beverages, Desserts, Mithai",3.4,5.850
"Cafe Coffee Day","New Delhi",Cafe,3,5.850
"Chanakya Bar-Be-Que","New Delhi","Chinese, North Indian",3.2,10.400
"Chattisgarh Bhawan","New Delhi","North Indian, South Indian",2.7,5.850
Chimney,"New Delhi",Chinese,2.9,10.400
"China Town Sizzlers","New Delhi",Chinese,3.4,10.400
"Chinese Bite","New Delhi","Chinese, North Indian, Seafood",2.8,9.100
"Chinese Garden","New Delhi",Chinese,3.2,11.700
"Costa Coffee","New Delhi",Cafe,3,7.800
"Food Point","New Delhi","Fast Food",2.8,2.600
Ikko,"New Delhi","North Indian, Mughlai",2.9,21.450
"Jammu And Kashmir House","New Delhi","Kashmiri, North Indian",2.9,6.500
Laguna,"New Delhi","Chinese, North Indian",3.4,11.700
"Momo Point","New Delhi","Chinese, North Indian",3.2,9.100
"New Zaika","New Delhi","Chinese, North Indian",3.1,9.100
"Organic Express","New Delhi","Cafe, Healthy Food, North Indian",3,9.100
"Tamil Nadu House Canteen","New Delhi","South Indian, Chettinad, North Indian, Chinese",3.4,7.800
"The Chocolate Avenue","New Delhi",Bakery,3.4,3.900
"Chimney Sizzlers","New Delhi",Chinese,3.7,10.400
"Gujarat Bhawan Restaurant","New Delhi","Gujarati, South Indian, North Indian",3.7,5.200
"It涯퍀 Sinful","New Delhi","Bakery, Desserts",3.5,5.850
Jakoi,"New Delhi","Assamese, Chinese",3.5,7.800
"Arunachal Bhawan","New Delhi","North Eastern",0,4.550
"Hotel New Tamil Nadu","New Delhi","South Indian, North Indian, Chinese",0,3.900
"Milan Food","New Delhi","Chinese, North Indian",0,8.450
"Playboy Club","New Delhi","Finger Food",0,39.000
"Moti Mahal Delux","New Delhi","North Indian, Mughlai",2.4,20.800
"The Treat","New Delhi","North Indian, Mughlai, Chinese",2.1,6.500
"Break Fast Point","New Delhi","North Indian",3.3,2.600
"Breakfast Corner","New Delhi","North Indian",3.1,1.950
"Domino's Pizza","New Delhi","Pizza, Fast Food",3,9.100
Frontier,"New Delhi",Bakery,3.2,2.600
"Prince Cafe","New Delhi","South Indian, Chinese, Fast Food",2.9,3.900
"Spicy Eleven","New Delhi","North Indian, South Indian, Chinese",3.1,6.500
"Vaishno Punjabi Dhaba","New Delhi","North Indian",3,5.200
"Adarsh Bhojnalaya","New Delhi","North Indian",3.4,3.900
"Al Haj Bakery","New Delhi",Bakery,3,1.950
"Anmol Chicken","New Delhi",Mughlai,3.1,3.900
"Babu Ram Paranthe Wale","New Delhi","North Indian",3.2,1.950
"Bhaijaan Kababs","New Delhi",Mughlai,3.2,1.300
Bhikharam's,"New Delhi","Mithai, Fast Food",3,3.900
Bikanervala,"New Delhi","North Indian, South Indian, Fast Food, Street Food, Chinese, Desserts, Mithai",2.8,7.150
"Brijwasi Bhoj","New Delhi","North Indian",3.1,2.600
"Brijwasi Restaurant","New Delhi","North Indian, Fast Food, Chinese, South Indian",3.2,5.200
Comesum,"New Delhi","North Indian, Street Food, Chinese, South Indian",2.5,4.550
"Inderpuri Restaurant","New Delhi","North Indian",3,3.250
"Kamdhenu Family Corner","New Delhi","North Indian, South Indian",2.8,3.900
